Date,Open,High,Low,Close,Volume
1977-01-03,0.41904,0.42623,0.41904,0.41904,597411
1977-01-04,0.41904,0.41904,0.40439,0.41171,983037
1977-01-05,0.41171,0.41171,0.40439,0.40439,959774
1977-01-06,0.40439,0.41171,0.40439,0.41171,1074849
1977-01-07,0.41171,0.41171,0.41171,0.41171,640258
1977-01-10,0.41171,0.41904,0.41171,0.41904,885098
1977-01-11,0.41904,0.41904,0.41171,0.41171,1220531
1977-01-12,0.41171,0.41904,0.41171,0.41171,650051
1977-01-13,0.41171,0.41904,0.41171,0.41904,1788559
1977-01-14,0.41904,0.41904,0.41904,0.41904,608427
1977-01-17,0.41904,0.41904,0.41171,0.41171,750432
1977-01-18,0.41171,0.41904,0.41171,0.41904,635360
1977-01-19,0.41904,0.41904,0.41171,0.41904,1074849
1977-01-20,0.41904,0.41904,0.41171,0.41171,721054
1977-01-21,0.41171,0.41904,0.41171,0.41904,1519233
1977-01-24,0.41904,0.41904,0.41171,0.41171,1251135
1977-01-25,0.41904,0.41904,0.41171,0.41171,908354
1977-01-26,0.41904,0.41904,0.41904,0.41904,1336828
1977-01-27,0.41904,0.41904,0.41904,0.41904,772473
1977-01-28,0.41904,0.42623,0.41904,0.41904,921826
1977-01-31,0.41904,0.41904,0.41904,0.41904,774915
1977-02-01,0.41904,0.41904,0.41904,0.41904,776146
1977-02-02,0.41904,0.41904,0.41171,0.41171,514164
1977-02-03,0.41171,0.41904,0.40439,0.41171,1199719
1977-02-04,0.41171,0.41171,0.40439,0.41171,694123
1977-02-07,0.41171,0.41171,0.40439,0.40439,605979
1977-02-08,0.40439,0.41171,0.40439,0.40439,659846
1977-02-09,0.40439,0.40439,0.38964,0.38964,3563649
1977-02-10,0.38964,0.39698,0.38964,0.38964,1356417
1977-02-11,0.38964,0.39698,0.38964,0.38964,1191149
1977-02-14,0.38964,0.38964,0.38234,0.38964,839802
1977-02-15,0.38964,0.38964,0.38964,0.38964,1322139
1977-02-16,0.38964,0.39698,0.38964,0.39698,3937034
1977-02-17,0.39698,0.39698,0.39698,0.39698,650051
1977-02-18,0.39698,0.39698,0.39698,0.39698,767579
1977-02-22,0.39698,0.39698,0.39698,0.39698,887547
1977-02-23,0.39698,0.39698,0.39698,0.39698,1493522
1977-02-24,0.39698,0.39698,0.38964,0.38964,750432
1977-02-25,0.38964,0.39698,0.38964,0.39698,1030778
1977-02-28,0.39698,0.40439,0.39698,0.40439,548440
1977-03-01,0.40439,0.41171,0.40439,0.40439,795730
1977-03-02,0.40439,0.41171,0.40439,0.40439,1379677
1977-03-03,0.40439,0.41171,0.40439,0.41171,646377
1977-03-04,0.41171,0.41171,0.41171,0.41171,782264
1977-03-07,0.41171,0.41171,0.41171,0.41171,640258
1977-03-08,0.41171,0.41171,0.40439,0.40439,1342951
1977-03-09,0.40439,0.40439,0.39698,0.39698,798181
